city,period_month,year_start,year_end,sample_years,temperature_mean_c,daily_max_temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,precipitation_days_mean,heavy_rain_days_mean,extreme_rain_days_mean,hot_days_mean,cold_days_mean,windy_days_mean,snow_days_mean,missing_rate,source_product,source_model,spatial_resolution,spatial_method
Jinan,0,2000,2025,26,13.1794,19.4923,10.613,64.8213,81.5,10.3846,1.5385,16.3462,115.8462,8.2308,4.1538,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Hefei,0,2000,2025,26,16.2349,21.7766,15.0163,74.7606,117.5,14.9231,1.5769,16.4615,62.2308,4.6923,2.3077,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Fuzhou,0,2000,2025,26,19.2949,23.27,19.3868,83.8346,162.1923,18.7692,2.5385,0.5769,1.5385,2.9231,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Xiamen,0,2000,2025,26,21.2634,24.8629,21.0604,80.7419,148.4615,18.0,2.5385,0.2692,0.0385,14.1923,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Kunming,0,2000,2025,26,15.3738,22.1222,13.065,71.8889,124.5385,6.0769,0.1538,0.0,9.4615,5.2308,0.1154,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Guiyang,0,2000,2025,26,14.7386,20.0321,12.9817,82.4887,160.4231,12.2308,0.5769,0.0,38.1154,6.4231,1.7308,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Nanning,0,2000,2025,26,21.8106,27.1543,22.4794,77.5517,165.1154,16.1923,1.6538,11.3077,0.9615,3.1538,0.0385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Haikou,0,2000,2025,26,24.8199,27.5867,26.4093,82.3269,181.6923,20.6154,4.1923,3.5,0.0,8.4231,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Sanya,0,2000,2025,26,24.1222,28.5136,26.9751,83.6994,164.4615,25.5,6.2692,1.2308,0.0,0.1538,0.0,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Harbin,0,2000,2025,26,4.2217,10.1536,0.0273,71.4319,84.4231,4.0,0.2692,2.5,184.5,15.6154,10.0769,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Changchun,0,2000,2025,26,5.3806,11.3609,1.2296,71.4445,92.1154,6.1538,0.6154,1.3462,178.5769,25.9231,12.7308,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Shenyang,0,2000,2025,26,8.0298,14.4263,4.2567,66.7823,83.6154,7.1154,0.8077,5.1923,163.2692,21.3462,8.5,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Hohhot,0,2000,2025,26,4.6112,11.6221,-0.3381,56.3945,61.8077,3.0385,0.2308,0.3077,195.7692,30.3077,6.2692,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Urumqi,0,2000,2025,26,10.8778,17.1933,6.9554,46.438,54.0385,1.1154,0.0,27.6154,133.4615,6.5,12.5769,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Lanzhou,0,2000,2025,26,7.8455,15.1642,4.1865,57.4159,93.5,0.9615,0.0,0.4615,163.1923,4.3846,5.6923,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Xining,0,2000,2025,26,5.2901,13.1739,1.4324,55.9169,92.9615,2.0,0.0,0.0385,196.0385,4.1538,5.5385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Yinchuan,0,2000,2025,26,9.6196,16.7444,5.3694,46.1193,39.3846,1.3462,0.1154,10.8077,154.6538,16.4615,1.8077,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Lhasa,0,2000,2025,26,4.5087,11.8359,0.1575,45.7953,82.1923,1.1923,0.0,0.0,210.3077,2.7692,1.1538,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
Taiyuan,0,2000,2025,26,8.7214,15.9513,4.9791,57.5297,72.0,4.4615,0.2308,3.1538,162.4231,14.5,5.0385,0.0,NASA POWER Daily API,NASA POWER / MERRA-2,0.5 degree latitude x 0.625 degree longitude (~50 km),source-native model grid cell containing city-centre coordinates
