city,city_zh,city_en,year,pm25_mean_ug_m3,valid_grid_cells,grid_cell_count,source_product,source_version,spatial_method
Cape Town,开普敦,Cape Town,2021,8.3067,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Cape Town,开普敦,Cape Town,2022,9.8503,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Cape Town,开普敦,Cape Town,2023,5.2808,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Cape Town,开普敦,Cape Town,2024,8.7983,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2015,55.2187,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2016,42.8917,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2017,44.597,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2018,33.5141,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2019,35.6626,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2020,41.2978,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2021,33.3151,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2022,32.2423,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2023,35.9103,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changchun,长春,Changchun,2024,39.6423,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2015,56.3719,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2016,49.4704,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2017,49.5028,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2018,43.761,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2019,46.0631,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Changsha,长沙,Changsha,2020,38.2927,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
